record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT2-CPS-2024-536|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-537|2024||Proposed|Construction of 1x2 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-538|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-539|2024||Proposed|Construction of Health Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-540|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-541|2024||Proposed|Construction of 1x3 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-542|2024||Proposed|Construction of 1x4 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-543|2024||Proposed|Completion of Ndeke Mini Hospital|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-544|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-545|2024||Proposed|Construction of Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-546|2024||Proposed|Water Supply - Nkana Water|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-547|2024||Proposed|Installation of 2.8km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-548|2024||Proposed|Installation of 2km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-549|2024||Proposed|Installation of 2km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-550|2024||Proposed|Installation of 0.8km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-551|2024||Proposed|Water Supply - Nkana Water|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
